peak_name,text,text_list,peak_loc,text_set,target
Hoverla,"Hoverla is the highest peak in Ukraine, offering breathtaking views of the Carpathian Mountains.","['Hoverla', 'is', 'the', 'highest', 'peak', 'in', 'Ukraine', ',', 'offering', 'breathtaking', 'views', 'of', 'the', 'Carpathian', 'Mountains', '.']","(0, 7)","[('Hoverla', 0), ('is', 8), ('the', 11), ('highest', 15), ('peak', 23), ('in', 28), ('Ukraine', 31), (',', 38), ('offering', 40), ('breathtaking', 49), ('views', 62), ('of', 68), ('the', 71), ('Carpathian', 75), ('Mountains', 86), ('.', 95)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Brebeneskul,"Brebeneskul is a beautiful mountain located in the heart of the Ukrainian Carpathians, known for its crystal-clear lakes.","['Brebeneskul', 'is', 'a', 'beautiful', 'mountain', 'located', 'in', 'the', 'heart', 'of', 'the', 'Ukrainian', 'Carpathians', ',', 'known', 'for', 'its', 'crystal', 'clear', 'lakes', '.']","(0, 11)","[('Brebeneskul', 0), ('is', 12), ('a', 15), ('beautiful', 17), ('mountain', 27), ('located', 36), ('in', 44), ('the', 47), ('heart', 51), ('of', 57), ('the', 60), ('Ukrainian', 64), ('Carpathians', 74), (',', 85), ('known', 87), ('for', 93), ('its', 97), ('crystal', 101), ('clear', 109), ('lakes', 115), ('.', 120)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chorna Hora (Pip Ivan),"Chorna Hora, also known as Pip Ivan, is a majestic peak in the Ukrainian Carpathians, famous for its abandoned observatory.","['Chorna', 'Hora', ',', 'also', 'known', 'as', 'Pip', 'Ivan', ',', 'is', 'a', 'majestic', 'peak', 'in', 'the', 'Ukrainian', 'Carpathians', ',', 'famous', 'for', 'its', 'abandoned', 'observatory', '.']","(-1, 21)","[('Chorna', 0), ('Hora', 7), (',', 11), ('also', 13), ('known', 18), ('as', 24), ('Pip', 27), ('Ivan', 31), (',', 35), ('is', 37), ('a', 40), ('majestic', 42), ('peak', 51), ('in', 56), ('the', 59), ('Ukrainian', 63), ('Carpathians', 73), (',', 84), ('famous', 86), ('for', 93), ('its', 97), ('abandoned', 101), ('observatory', 111), ('.', 122)]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Petros,"Petros is a rugged mountain with steep cliffs, providing a challenging terrain for adventurous hikers.","['Petros', 'is', 'a', 'rugged', 'mountain', 'with', 'steep', 'cliffs', ',', 'providing', 'a', 'challenging', 'terrain', 'for', 'adventurous', 'hikers', '.']","(0, 6)","[('Petros', 0), ('is', 7), ('a', 10), ('rugged', 12), ('mountain', 19), ('with', 28), ('steep', 33), ('cliffs', 39), (',', 45), ('providing', 47), ('a', 57), ('challenging', 59), ('terrain', 71), ('for', 79), ('adventurous', 83), ('hikers', 95), ('.', 101)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Gutyn Tomnatyk,"Gutyn Tomnatyk is a hidden gem among the Carpathian peaks, offering tranquility and picturesque landscapes.","['Gutyn', 'Tomnatyk', 'is', 'a', 'hidden', 'gem', 'among', 'the', 'Carpathian', 'peaks', ',', 'offering', 'tranquility', 'and', 'picturesque', 'landscapes', '.']","(0, 14)","[('Gutyn', 0), ('Tomnatyk', 6), ('is', 15), ('a', 18), ('hidden', 20), ('gem', 27), ('among', 31), ('the', 37), ('Carpathian', 41), ('peaks', 52), (',', 57), ('offering', 59), ('tranquility', 68), ('and', 80), ('picturesque', 84), ('landscapes', 96), ('.', 106)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Rebra,Rebra is a lesser-known mountain that offers stunning panoramic views of the surrounding valleys and forests.,"['Rebra', 'is', 'a', 'lesser', 'known', 'mountain', 'that', 'offers', 'stunning', 'panoramic', 'views', 'of', 'the', 'surrounding', 'valleys', 'and', 'forests', '.']","(0, 5)","[('Rebra', 0), ('is', 6), ('a', 9), ('lesser', 11), ('known', 18), ('mountain', 24), ('that', 33), ('offers', 38), ('stunning', 45), ('panoramic', 54), ('views', 64), ('of', 70), ('the', 73), ('surrounding', 77), ('valleys', 89), ('and', 97), ('forests', 101), ('.', 108)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pip Ivan,"Pip Ivan, also known as Chorna Hora, is a must-visit peak for nature enthusiasts, with its unique rock formations and rich biodiversity.","['Pip', 'Ivan', ',', 'also', 'known', 'as', 'Chorna', 'Hora', ',', 'is', 'a', 'must', 'visit', 'peak', 'for', 'nature', 'enthusiasts', ',', 'with', 'its', 'unique', 'rock', 'formations', 'and', 'rich', 'biodiversity', '.']","(0, 8)","[('Pip', 0), ('Ivan', 4), (',', 8), ('also', 10), ('known', 15), ('as', 21), ('Chorna', 24), ('Hora', 31), (',', 35), ('is', 37), ('a', 40), ('must', 42), ('visit', 47), ('peak', 53), ('for', 58), ('nature', 62), ('enthusiasts', 69), (',', 80), ('with', 82), ('its', 87), ('unique', 91), ('rock', 98), ('formations', 103), ('and', 114), ('rich', 118), ('biodiversity', 123), ('.', 135)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Turkul,Turkul is a scenic mountain that captivates visitors with its gentle slopes and colorful alpine meadows.,"['Turkul', 'is', 'a', 'scenic', 'mountain', 'that', 'captivates', 'visitors', 'with', 'its', 'gentle', 'slopes', 'and', 'colorful', 'alpine', 'meadows', '.']","(0, 6)","[('Turkul', 0), ('is', 7), ('a', 10), ('scenic', 12), ('mountain', 19), ('that', 28), ('captivates', 33), ('visitors', 44), ('with', 53), ('its', 58), ('gentle', 62), ('slopes', 69), ('and', 76), ('colorful', 80), ('alpine', 89), ('meadows', 96), ('.', 103)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Smorets,"Smorets is a charming mountain that boasts a wide variety of flora and fauna, making it a paradise for nature lovers.","['Smorets', 'is', 'a', 'charming', 'mountain', 'that', 'boasts', 'a', 'wide', 'variety', 'of', 'flora', 'and', 'fauna', ',', 'making', 'it', 'a', 'paradise', 'for', 'nature', 'lovers', '.']","(0, 7)","[('Smorets', 0), ('is', 8), ('a', 11), ('charming', 13), ('mountain', 22), ('that', 31), ('boasts', 36), ('a', 38), ('wide', 45), ('variety', 50), ('of', 58), ('flora', 61), ('and', 67), ('fauna', 71), (',', 76), ('making', 78), ('it', 85), ('a', 88), ('paradise', 90), ('for', 99), ('nature', 103), ('lovers', 110), ('.', 116)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Muechel,"Muechel is a remote mountain with untouched wilderness, providing a true sense of solitude and serenity.","['Muechel', 'is', 'a', 'remote', 'mountain', 'with', 'untouched', 'wilderness', ',', 'providing', 'a', 'true', 'sense', 'of', 'solitude', 'and', 'serenity', '.']","(0, 7)","[('Muechel', 0), ('is', 8), ('a', 11), ('remote', 13), ('mountain', 20), ('with', 29), ('untouched', 34), ('wilderness', 44), (',', 54), ('providing', 56), ('a', 66), ('true', 68), ('sense', 73), ('of', 79), ('solitude', 82), ('and', 91), ('serenity', 95), ('.', 103)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pozhezhevska,Pozhezhevska is a picturesque mountain known for its enchanting waterfalls and lush greenery.,"['Pozhezhevska', 'is', 'a', 'picturesque', 'mountain', 'known', 'for', 'its', 'enchanting', 'waterfalls', 'and', 'lush', 'greenery', '.']","(0, 12)","[('Pozhezhevska', 0), ('is', 13), ('a', 16), ('picturesque', 18), ('mountain', 30), ('known', 39), ('for', 45), ('its', 49), ('enchanting', 53), ('waterfalls', 64), ('and', 75), ('lush', 79), ('greenery', 84), ('.', 92)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bliznytsia,"Bliznytsia is a twin peak that offers a thrilling hiking experience, with its steep cliffs and narrow ridges.","['Bliznytsia', 'is', 'a', 'twin', 'peak', 'that', 'offers', 'a', 'thrilling', 'hiking', 'experience', ',', 'with', 'its', 'steep', 'cliffs', 'and', 'narrow', 'ridges', '.']","(0, 10)","[('Bliznytsia', 0), ('is', 11), ('a', 14), ('twin', 16), ('peak', 21), ('that', 26), ('offers', 31), ('a', 38), ('thrilling', 40), ('hiking', 50), ('experience', 57), (',', 67), ('with', 69), ('its', 74), ('steep', 78), ('cliffs', 84), ('and', 91), ('narrow', 95), ('ridges', 102), ('.', 108)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Dzembronya,"Dzembronya is a mystical mountain that is shrouded in legends and folklore, adding an air of mystery to its beauty.","['Dzembronya', 'is', 'a', 'mystical', 'mountain', 'that', 'is', 'shrouded', 'in', 'legends', 'and', 'folklore', ',', 'adding', 'an', 'air', 'of', 'mystery', 'to', 'its', 'beauty', '.']","(0, 10)","[('Dzembronya', 0), ('is', 11), ('a', 14), ('mystical', 16), ('mountain', 25), ('that', 34), ('is', 39), ('shrouded', 42), ('in', 51), ('legends', 54), ('and', 62), ('folklore', 66), (',', 74), ('adding', 76), ('an', 83), ('air', 86), ('of', 90), ('mystery', 93), ('to', 101), ('its', 104), ('beauty', 108), ('.', 114)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Spitsi,"Spitsi is a hidden treasure among the Carpathian peaks, featuring pristine alpine meadows and stunning panoramic vistas.","['Spitsi', 'is', 'a', 'hidden', 'treasure', 'among', 'the', 'Carpathian', 'peaks', ',', 'featuring', 'pristine', 'alpine', 'meadows', 'and', 'stunning', 'panoramic', 'vistas', '.']","(0, 6)","[('Spitsi', 0), ('is', 7), ('a', 10), ('hidden', 12), ('treasure', 19), ('among', 28), ('the', 34), ('Carpathian', 38), ('peaks', 49), (',', 54), ('featuring', 56), ('pristine', 66), ('alpine', 75), ('meadows', 82), ('and', 90), ('stunning', 94), ('panoramic', 103), ('vistas', 113), ('.', 119)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lopushna,Lopushna is a tranquil mountain that provides a peaceful retreat for those seeking solace in nature.,"['Lopushna', 'is', 'a', 'tranquil', 'mountain', 'that', 'provides', 'a', 'peaceful', 'retreat', 'for', 'those', 'seeking', 'solace', 'in', 'nature', '.']","(0, 8)","[('Lopushna', 0), ('is', 9), ('a', 12), ('tranquil', 14), ('mountain', 23), ('that', 32), ('provides', 37), ('a', 46), ('peaceful', 48), ('retreat', 57), ('for', 65), ('those', 69), ('seeking', 75), ('solace', 83), ('in', 90), ('nature', 93), ('.', 99)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
